Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Precious Achiuwa,PF-C,24,TOT,74,18,1624,7.2,14.4,.501,0.8,3.0,.268,6.4,11.4,.562,2.1,3.4,.616,5.9,9.1,14.9,3.0,1.4,2.1,2.5,4.4,17.3,,114,112,achiupr01
1,Precious Achiuwa,C,24,TOR,25,0,437,8.6,18.8,.459,1.4,5.2,.277,7.2,13.6,.528,2.7,4.6,.571,5.5,9.5,15.0,4.9,1.8,1.3,3.2,4.4,21.3,,106,116,achiupr01
1,Precious Achiuwa,PF,24,NYK,49,18,1187,6.7,12.7,.525,0.6,2.1,.260,6.1,10.6,.578,1.9,3.0,.643,6.0,8.9,14.9,2.3,1.3,2.4,2.3,4.4,15.8,,118,111,achiupr01
2,Bam Adebayo,C,26,MIA,71,71,2416,10.9,21.0,.521,0.3,0.9,.357,10.6,20.1,.528,6.0,8.0,.755,3.3,11.9,15.2,5.7,1.7,1.4,3.3,3.3,28.2,,115,109,adebaba01
3,Ochai Agbaji,SG,23,TOT,78,28,1641,5.2,12.7,.411,1.8,6.2,.294,3.4,6.5,.523,1.1,1.6,.661,2.2,4.2,6.4,2.4,1.4,1.3,1.9,3.4,13.4,,102,121,agbajoc01
3,Ochai Agbaji,SG,23,UTA,51,10,1003,5.1,12.0,.426,2.3,6.8,.331,2.8,5.1,.551,0.7,1.0,.750,1.7,4.4,6.1,2.3,1.3,1.4,1.6,3.2,13.2,,107,122,agbajoc01
3,Ochai Agbaji,SG,23,TOR,27,18,638,5.4,13.9,.391,1.1,5.2,.217,4.3,8.7,.496,1.7,2.7,.611,3.0,3.9,6.8,2.7,1.5,1.1,2.3,3.9,13.7,,95,120,agbajoc01
4,Santi Aldama,PF,23,MEM,61,35,1618,7.5,17.2,.435,3.2,9.2,.349,4.3,8.0,.534,1.6,2.6,.621,2.2,8.5,10.6,4.2,1.3,1.6,2.1,2.7,19.8,,109,114,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,82,20,1921,6.1,13.8,.439,3.4,8.6,.391,2.7,5.2,.517,1.3,1.7,.800,0.9,3.4,4.3,5.2,1.6,1.1,2.0,3.7,16.9,,115,111,alexani01
6,Grayson Allen,SG,28,PHO,75,74,2513,6.6,13.3,.499,4.0,8.6,.461,2.6,4.6,.570,2.5,2.9,.878,0.9,4.8,5.7,4.4,1.3,0.9,1.8,3.1,19.7,,130,117,allengr01
